Accession.ID,Collection.date,Country
Q1,27/02/2020,Norway
Q2,27/02/2020,Norway
Q3,01/03/2020,Norway
Q4,01/03/2020,Norway
Q5,02/03/2020,Norway
Q6,29/02/2020,Norway
Q7,29/02/2020,Norway
Q8,10/03/2020,Norway
Q9,18/03/2020,Norway
Q10,28/02/2020,Norway
Q11,28/02/2020,Norway
Q12,17/03/2020,Norway
Q13,09/03/2020,Norway
Q14,16/03/2020,Norway
Q15,17/03/2020,Norway
Q16,14/03/2020,Norway
Q17,10/03/2020,Norway
Q18,10/03/2020,Norway
Q19,11/03/2020,Norway
Q20,09/03/2020,Norway
Q21,10/03/2020,Norway
Q22,17/04/2020,Norway
